iter	Passed	Remaining
0	164	163941
1	166	83073
2	169	56223
3	171	42667
4	173	34602
5	177	29330
6	179	25432
7	181	22513
8	184	20269
9	186	18431
10	188	16965
11	191	15736
12	192	14632
13	194	13687
14	196	12870
15	197	12163
16	199	11515
17	200	10935
18	201	10425
19	203	9958
20	204	9544
21	206	9189
22	207	8833
23	209	8502
24	210	8195
25	211	7911
26	212	7648
27	213	7403
28	214	7176
29	215	6962
30	216	6759
31	217	6568
32	218	6391
33	219	6230
34	220	6089
35	221	5939
36	222	5796
37	223	5660
38	224	5532
39	225	5409
40	226	5292
41	227	5179
42	227	5073
43	229	4982
44	230	4891
45	231	4797
46	232	4710
47	233	4626
48	234	4553
49	235	4475
50	236	4397
51	237	4323
52	237	4250
53	238	4182
54	239	4114
55	240	4051
56	241	3990
57	242	3931
58	242	3875
59	243	3820
60	244	3766
61	245	3713
62	246	3661
63	246	3611
64	247	3562
65	248	3516
66	249	3474
67	250	3433
68	251	3394
69	252	3353
70	253	3313
71	254	3276
72	255	3238
73	256	3204
74	256	3168
75	257	3133
76	258	3098
77	259	3065
78	260	3031
79	260	2998
80	261	2968
81	262	2938
82	262	2904
83	271	2958
84	272	2938
85	274	2917
86	276	2898
87	277	2880
88	280	2866
89	281	2851
90	283	2831
91	285	2813
92	286	2795
93	288	2776
94	289	2756
95	290	2736
96	291	2717
97	293	2698
98	295	2686
99	296	2668
100	297	2648
101	298	2628
102	299	2610
103	300	2592
104	302	2574
105	302	2554
106	303	2535
107	304	2515
108	305	2497
109	306	2479
110	307	2461
111	309	2451
112	310	2438
113	311	2422
114	312	2408
115	313	2392
116	314	2374
117	315	2358
118	316	2341
119	317	2325
120	317	2309
121	318	2292
122	319	2277
123	320	2263
124	321	2249
125	322	2237
126	324	2230
127	325	2219
128	327	2209
129	328	2196
130	328	2182
131	330	2170
132	330	2156
133	331	2143
134	332	2130
135	333	2117
136	334	2105
137	334	2092
138	335	2079
139	336	2067
140	337	2056
141	338	2044
142	339	2036
143	340	2025
144	341	2014
145	342	2003
146	343	1992
147	344	1981
148	345	1971
149	346	1960
150	346	1950
151	347	1939
152	348	1928
153	349	1918
154	350	1908
155	350	1898
156	351	1888
157	353	1884
158	354	1875
159	355	1866
160	356	1855
161	356	1846
162	357	1836
163	358	1827
164	359	1818
165	359	1808
166	360	1799
167	361	1790
168	362	1782
169	363	1773
170	364	1764
171	364	1756
172	365	1747
173	366	1740
174	367	1734
175	368	1726
176	369	1718
177	370	1710
178	371	1702
179	371	1694
180	372	1686
181	373	1678
182	374	1671
183	375	1663
184	375	1655
185	376	1648
186	377	1641
187	378	1634
188	379	1627
189	380	1620
190	380	1613
191	381	1607
192	382	1601
193	383	1594
194	384	1587
195	385	1581
196	386	1574
197	387	1567
198	387	1561
